# id,Date,Placing,Paifu,Rate before match,Change of rate,Round number,Win num,Deal-in num
0,2023-05-11 23:00:00,1,https://tenhou.net/0/?log=2023051123gm-0001-0000-b3720f99&tw=2,1533.7,6.216312500000001,3,2,0
1,2023-05-12 16:00:00,1,https://tenhou.net/0/?log=2023051216gm-0001-0000-5fd022cc&tw=1,1559.23,5.8228125,2,1,0
